id;cipher;client_id;provider_id;type_id;sum;position_count;currency_id;payment_term;payment_term_type_id;start_date;finish_date;status_id;link;lifecycle_status
1;Камерун орхидный B2B;69621;логистический;ключ Borders;36357;86859;площадь deposit bottom-line;99959;facilitate дизайнер пр.;2022-05-18;2022-05-18;Multi-layered Account онлайн;Чад blockchains;DELETED
2;Потрясающий;26043;Тувалу virtual;программирование обход;35954;88735;Главный Ремень;8078;Fiji нейронный Russian;2022-05-19;2022-05-19;Ирак;technologies invoice Стол;ACTUAL
3;Региональный;78169;didactic deposit;индексирование;28969;49976;игры;23897;Берет Money;2022-05-19;2022-05-19;переопределение;e-business;ACTUAL
4;операционный;84583;Областной;Бетонный payment Танзания;95202;41981;Маленький;86520;Международный deposit e-tailers;2022-05-18;2022-05-18;Эргономичный архивирование;площадь;DELETED
5;многобайтный;39449;Большой;Гранитный инженер оптический;65005;88414;интеграционный XML экспортировать;1335;ввести интерфейс свободно-распростроняемый;2022-05-19;2022-05-19;Свободный expedite;Деревянный payment Account;ACTUAL
6;массив многобайтный;17470;Cambridgeshire;помощник;53880;84189;Кошелек;10414;Натуральный;2022-05-19;2022-05-18;Национальный Эргономичный;PNG;ACTUAL
7;Плащ соединение Лесото;50280;область разбор;Стол sexy;19997;95595;systems;9781;здоровье Региональный;2022-05-18;2022-05-18;улица Checking;visionary инженер;DELETED
8;1080-пиксельный;94161;внутренний payment;компьютеры Dollar distributed;5610;22694;Республика оранжевый B2B;43508;COM viral Buckinghamshire;2022-05-19;2022-05-19;серебряный Великолепный свободно-распростроняемый;Checking Кепка;DELETED
9;улица помощник парсер;37963;техник;функциональный Свитер;82746;40161;Бакалея Bedfordshire;7234;Assimilated;2022-05-19;2022-05-18;convergence Dollar;leading-edge technologies;ACTUAL
10;Тюменская collaborative Практичный;54997;Forint hardware;синий улица;44955;16889;навигация invoice Dollar;89020;Резиновый;2022-05-18;2022-05-18;implement;Фантастический;ACTUAL
