id;contract_position_id;employee_id;number_contract_position;restriction_type_id;restriction;currency_id;rate_an_hour;status_id;lifecycle_status
1;Региональный;14824;53065;твердотельный toolset;5513;Borders функциональный;34538;Генеральный Натуральный optimizing;ACTUAL
2;Dinar;75794;43321;productivity Челябинская;14762;Практичный Потрясающий архивирование;49407;сохранить Региональный Стальной;DELETED
3;Региональный;8243;5262;Неодимовый навигировать;90375;коммуникационный;51149;Secured маркетинговый Бразилия;DELETED
4;инженер;50498;40446;Лоснящийся менеджер hybrid;99984;Носки Генеральный;22749;mesh scalable ул.;DELETED
5;Gourde e-tailers;88138;4496;Республика SMTP;94558;Bedfordshire website;45314;Berkshire object-oriented;DELETED
6;experiences one-to-one копирование;83891;1979;discrete;66163;Adaptive e-markets;76826;Бетонный Книги;DELETED
7;инженер Credit;26506;76451;SMS;47694;Бакалея multimedia Автомобильное;14167;invoice маркетинговый;DELETED
8;коммуникационный;4697;75450;Лоснящийся копировать Областной;55004;обход;70308;Account область Натуральный;DELETED
9;content SSL;10792;6796;блок Компьютер SAS;55410;SAS ул. оптический;5619;онлайн Главный Антильские;DELETED
10;matrix нейронный architect;50494;89742;Ведущий коммуникационный HTTP;60840;архитектор concept Ведущий;7861;niches Практичный Невероятный;ACTUAL
