id;client_id;name;start_date;finish_date;link;status_id;lifecycle_status
1;85529;Polarised;2022-05-19;2022-05-19;Stand-alone;Аргентина координатор;DELETED
2;57511;красота;2022-05-18;2022-05-18;Архангельская Бакалея;дизайнер;ACTUAL
3;86518;technologies Меховой Ведущий;2022-05-19;2022-05-18;Берет Account world-class;твердотельный;DELETED
4;42846;Бакалея portals;2022-05-19;2022-05-18;мобильный;навигировать Diverse;DELETED
5;95809;оптический;2022-05-19;2022-05-18;Большой механизм;логистический Optional;DELETED
6;79826;скачивание Грубый;2022-05-18;2022-05-18;пурпурный;функциональный systemic;ACTUAL
7;89858;Тульская операционный внутренний;2022-05-19;2022-05-19;распарсить внутренний;передать;ACTUAL
8;75745;deliverables Маленький генерация;2022-05-19;2022-05-18;Клатч;страховой Nakfa;DELETED
9;26362;вычисление Свитер;2022-05-18;2022-05-19;Ремень беспроводной Borders;операционный;DELETED
10;17757;impactful;2022-05-19;2022-05-18;пл. Hryvnia аналитик;interactive;ACTUAL
